category,Ref,CART_Precision,CART_Recall,CART_F1,RF_Precision,RF_Recall,RF_F1,SVM_Precision,SVM_Recall,SVM_F1
Igneous,26,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,26,,,,,,,,,
Metamorphic,26,,,,,,,,,
Acidic,26,,,,,,,,,
Intermediate,26,,,,,,,,,
Basic,26,,,,,,,,,
Kimberlite,26,,,,,,,,,
Carbotite,26,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Ne-syenite,26,,,,,,,,,
Igneous,27,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,27,,,,,,,,,
Metamorphic,27,,,,,,,,,
Acidic,27,0.72 ,1.00 ,0.84 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,27,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Basic,27,,,,,,,,,
Kimberlite,27,,,,,,,,,
Carbotite,27,,,,,,,,,
Ne-syenite,27,,,,,,,,,
Igneous,28,1.00 ,0.97 ,0.98 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,28,,,,,,,,,
Metamorphic,28,0.00 ,,,,,,,,
Acidic,28,0.74 ,1.00 ,0.85 ,1.00 ,1.00 ,1.00 ,1.00 ,0.98 ,0.99 
Intermediate,28,,0.00 ,,1.00 ,1.00 ,1.00 ,0.96 ,1.00 ,0.98 
Basic,28,,,,,,,,,
Kimberlite,28,,,,,,,,,
Carbotite,28,,,,,,,,,
Ne-syenite,28,,,,,,,,,
I,28,0.83 ,1.00 ,0.91 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
S,28,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
A,28,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
M,28,0.00 ,,,,,,,,
Igneous,29,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,29,,,,,,,,,
Metamorphic,29,,,,,,,,,
Acidic,29,0.17 ,1.00 ,0.29 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,29,,,,,,,,,
Basic,29,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Kimberlite,29,,,,,,,,,
Carbotite,29,,,,,,,,,
Ne-syenite,29,,,,,,,,,
Igneous,32,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,32,,,,,,,,,
Metamorphic,32,,,,,,,,,
Acidic,32,,,,,,,,,
Intermediate,32,,,,,,,,,
Basic,32,,,,,,,,,
Kimberlite,32,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Carbotite,32,,,,,,,,,
Ne-syenite,32,,,,,,,,,
Igneous,34,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,34,,,,,,,,,
Metamorphic,34,,,,,,,,,
Acidic,34,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,34,,,,,,,,,
Basic,34,,,,,,,,,
Kimberlite,34,,,,,,,,,
Carbotite,34,,,,,,,,,
Ne-syenite,34,,,,,,,,,
Igneous,35,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,35,,,,,,,,,
Metamorphic,35,,,,,,,,,
Acidic,35,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,35,,,,,,,,,
Basic,35,,,,,,,,,
Kimberlite,35,,,,,,,,,
Carbotite,35,,,,,,,,,
Ne-syenite,35,,,,,,,,,
Igneous,36,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,36,,,,,,,,,
Metamorphic,36,,,,,,,,,
Igneous,37,1.00 ,0.97 ,0.99 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,37,,,,,,,,,
Metamorphic,37,0.00 ,,,,,,,,
Acidic,37,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,37,,,,,,,,,
Basic,37,,,,,,,,,
Kimberlite,37,,,,,,,,,
Carbotite,37,,,,,,,,,
Ne-syenite,37,,,,,,,,,
Igneous,40,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,40,,,,,,,,,
Metamorphic,40,,,,,,,,,
Igneous,41,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,41,,,,,,,,,
Metamorphic,41,,,,,,,,,
Acidic,41,0.00 ,,,,,,,,
Intermediate,41,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Basic,41,,,,,,,,,
Kimberlite,41,,,,,,,,,
Carbotite,41,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Ne-syenite,41,,,,,,,,,
Igneous,42,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,42,,,,,,,,,
Metamorphic,42,,,,,,,,,
Acidic,42,0.00 ,,,,,,,,
Intermediate,42,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Basic,42,,,,,,,,,
Kimberlite,42,,,,,,,,,
Carbotite,42,,,,,,,,,
Ne-syenite,42,,,,,,,,,
Igneous,43,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,43,,,,,,,,,
Metamorphic,43,,,,,,,,,
Acidic,43,0.00 ,,,,,,,,
Intermediate,43,,,,,,,,,
Basic,43,,,,,,,,,
Kimberlite,43,,,,,,,,,
Carbotite,43,1.00 ,0.96 ,0.98 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Ne-syenite,43,,,,,,,,,
Igneous,44,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,44,,,,,,,,,
Metamorphic,44,,,,,,,,,
Igneous,45,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,45,,,,,,,,,
Metamorphic,45,,,,,,,,,
Igneous,46,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,46,,,,,,,,,
Metamorphic,46,,,,,,,,,
Acidic,46,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,46,,,,,,,,,
Basic,46,,,,,,,,,
Kimberlite,46,,,,,,,,,
Carbotite,46,,,,,,,,,
Ne-syenite,46,,,,,,,,,
Igneous,47,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,47,,,,,,,,,
Metamorphic,47,,,,,,,,,
Igneous,48,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
